County,Population,Median household income,Meidian Home Price 2019,Average Temperature (F),crime rate per 1000 person
Alameda,"1,559,308","$73,775","$832,582",59.21,37
Alpine,"1,202","$61,343","$369,943",44.35,20
Amador,"37,159","$52,964","$314,187",59.74,16.9
Butte,"221,578","$43,165","$306,635",60.08,29.9
Calaveras,"44,921","$54,936","$315,565",60.63,22
Colusa,"21,424","$50,503","$264,790",60.4,16.3
Contra Costa,"1,081,232","$79,799","$662,506",60.05,29.8
Del Norte,"28,066","$39,302","$216,242",53.38,23.1
El Dorado,"181,465","$68,507","$506,756",56.38,17.3
Fresno,"948,844","$45,201","$284,187",61.45,34.3
Glenn,"28,019","$40,106","$235,322",60.81,18.8
Humboldt,"134,876","$42,153","$345,987",54.04,35.5
Imperial,"177,026","$41,772","$222,567",73.11,31.3
Inyo,"18,439","$45,625","$278,147",58.03,16.4
Kern,"857,730","$48,574","$238,148",61.51,33
Kings,"151,390","$47,341","$242,654",63.64,23
Lake,"64,209","$35,997","$260,444",58.57,28.5
Lassen,"33,356","$53,351","$195,254",48.35,15.6
Los Angeles,"9,974,203","$55,870","$656,140",64.15,21.8
Madera,"152,452","$45,490","$288,029",56.68,22.2
Marin,"256,802","$91,529","$1,059,218",57.97,17.8
Mariposa,"17,946","$50,560","$285,673",55.83,15.4
Mendocino,"87,612","$43,290","$404,818",55.93,17.6
Merced,"261,609","$43,066","$274,217",62.86,27.2
Modoc,"9,335","$38,560","$141,299",47.78,17.8
Mono,"14,193","$61,814","$345,987",48.98,13
Monterey,"424,927","$58,582","$591,631",57.65,24.9
Napa,"139,253","$70,925","$678,449",59.39,17.1
Nevada,"98,606","$56,949","$483,364",55.31,16.1
Orange,"3,086,331","$75,998","$733,573",64.55,17.7
Placer,"361,518","$73,747","$508,631",54.09,18.4
Plumas,"19,286","$48,032","$248,996",48.26,16.2
Riverside,"2,266,899","$56,592","$379,304",70.28,27.1
Sacramento,"1,450,277","$55,615","$392,408",62.21,27.8
San Benito,"56,888","$67,874","$486,880",57.8,12.9
San Bernardino,"2,078,586","$54,100","$367,350",66.9,26.4
San Diego,"3,183,143","$63,996","$626,184",61.39,18.6
San Francisco,"829,072","$78,378","$1,182,325",57.37,55.4
San Joaquin,"701,050","$53,253","$378,663",61.45,35.8
San Luis Obispo,"274,184","$59,454","$611,028",59.58,20.7
San Mateo,"739,837","$91,421","$1,195,477",57.38,19.2
Santa Barbara,"431,555","$63,409","$641,317",59.65,21.1
Santa Clara,"1,841,569","$93,854","$1,089,740",59.65,23.4
Santa Cruz,"267,203","$66,923","$834,259",58.5,30.4
Shasta,"178,520","$44,556","$278,911",55.47,32
Sierra,"3,019","$43,107","$183,594",49.97,9.6
Siskiyou,"44,261","$37,495","$197,480",50.53,16.4
Solano,"421,624","$67,341","$456,998",60.44,31.9
Sonoma,"491,790","$63,799","$668,245",57.89,17.5
Stanislaus,"522,794","$49,573","$332,315",62.06,35.5
Sutter,"95,067","$51,527","$341,166",61.47,24.9
Tehama,"63,284","$42,369","$215,606",60.88,25.1
Trinity,"13,515","$36,862","$301,679",54.93,12.9
Tulare,"451,108","$42,863","$232,511",60.4,25.3
Tuolumne,"54,347","$48,493","$295,637",53.29,21.3
Ventura,"835,790","$77,335","$633,880",61.17,20.1
Yolo,"204,162","$55,508","$480,926",60.94,27
Yuba,"73,059","$45,470","$296,798",60.07,29.2